0	4	Durra, Muhanna	https://en.wikipedia.org/wiki/Muhanna_Al-Dura	Muhanna Durra
0	2	Eastern Art Group (Dong Fang or Ton Fan), The	https://en.wikipedia.org/wiki/Shen_Kuo	The Eastern Art Group (Dong Fang or Ton Fan)
0	2	Ecole de Dakar	https://en.wikipedia.org/wiki/Kre_M%27Baye	Ecole de Dakar
0	9	Entr’acte	https://en.wikipedia.org/wiki/Entr%27acte	Entr’acte
0	8	Fantômas	https://en.wikipedia.org/wiki/Fant%C3%B4mas	Fantômas
0	7	Fascist Modernism	https://en.wikipedia.org/wiki/Fascism	Fascist Modernism
0	2	Fei Ming (Republican China) - poetry	https://en.wikipedia.org/wiki/Song_dynasty	Fei Ming (Republican China) - poetry
0	8	Film, Music and Modernism in Latin America	https://en.wikipedia.org/wiki/Modernism	Music and Modernism in Latin America Film
0	8	Fin de Siècle 	https://en.wikipedia.org/wiki/Fin_de_si%C3%A8cle	Fin de Siècle
0	4	Fleischer Brothers	https://en.wikipedia.org/wiki/Fleischer_Studios	Fleischer Brothers
0	7	Fox, Ethel Carrick	https://en.wikipedia.org/wiki/Ethel_Carrick	Ethel Carrick Fox
0	2	Geometric Abstraction and Concrete Art in South American	https://en.wikipedia.org/wiki/BP_Pedestrian_Bridge	Geometric Abstractio
0	5	Gillespie, Kidd & Coia	https://en.wikipedia.org/wiki/Gillespie,_Kidd_%26_Coia	Kidd & Coia Gillespie
0	4	Gnecco, German Samper	https://en.wikipedia.org/wiki/Ernesto_Samper	German Samper Gnecco
0	4	Grass Society, The 	https://en.wikipedia.org/wiki/Yellow_Grass	The Grass Society
0	4	Grosvenor School	https://en.wikipedia.org/wiki/Grosvenor_School_of_Modern_Art	Grosvenor School
0	2	Group 1890	https://en.wikipedia.org/wiki/NGC_179	Group 1890
0	1	Grupo de Renovacion Musical	https://en.wikipedia.org/wiki/Music_of_Cuba	Grupo de Renovacion Musical
0	4	Gumilev, Nikolai	https://en.wikipedia.org/wiki/Nikolay_Gumilyov	Nikolai Gumilev
0	4	Gutai	https://en.wikipedia.org/wiki/Gutai_group	Gutai
0	4	Guzman, Cecilio de Rojas	https://en.wikipedia.org/wiki/Cecilio_Guzm%C3%A1n_de_Rojas	Cecilio de Rojas Guzman
0	7	Hamdi, Osman Bey	https://en.wikipedia.org/wiki/Hamdi_Bey	Osman Bey Hamdi
0	3	Hammid, Alexander	https://en.wikipedia.org/wiki/Alexandr_Hackenschmied	Alexander Hammid
0	6	Horvath, Odon von	https://en.wikipedia.org/wiki/%C3%96d%C3%B6n_von_Horv%C3%A1th	Odon von Horvath
0	7	Horwitz, Yair	https://en.wikipedia.org/wiki/Hurwitz	Yair Horwitz
0	7	Hŭi-dong, Ko	https://en.wikipedia.org/wiki/Go_Hui-dong	Ko Hŭi-dong
0	6	Iranian New Wave Cinema	https://en.wikipedia.org/wiki/Iranian_New_Wave	Iranian New Wave Cinema
0	4	Ishii Baku	https://en.wikipedia.org/wiki/Kan_Ishii	Ishii Baku
0	6	Izumi Kyoka	https://en.wikipedia.org/wiki/Ky%C5%8Dka_Izumi	Izumi Kyoka
0	5	Jacob's Pillow	https://en.wikipedia.org/wiki/Jacob%27s_Pillow_Dance	Jacob's Pillow
0	4	Jazz Dancing	https://en.wikipedia.org/wiki/Jazz_dance	Jazz Dancing
0	4	Jewish Art Music	https://en.wikipedia.org/wiki/Jewish_art_music_movement	Jewish Art Music
0	7	Johnson, Charles and Dora Dean	https://en.wikipedia.org/wiki/Dora_Dean	Charles and Dora Dean Johnson
0	7	JunYee	https://en.wikipedia.org/wiki/Jungle	JunYee
0	8	Kaléko, Mascha	https://en.wikipedia.org/wiki/Mascha_Kal%C3%A9ko	Mascha Kaléko
0	6	Kawakami Otojiro	https://en.wikipedia.org/wiki/Otojir%C5%8D_Kawakami	Kawakami Otojiro
0	3	Khalil Sakakini Cultural Centre Foundation	https://en.wikipedia.org/wiki/Khalil_Sakakini_Cultural_Center	Khalil Sakakini Cultural Cen
0	5	Kobo, Abe	https://en.wikipedia.org/wiki/K%C5%8Db%C5%8D_Abe	Abe Kobo
0	5	Kotaro, Takamura	https://en.wikipedia.org/wiki/K%C5%8Dtar%C5%8D_Takamura	Takamura Kotaro
0	3	Kramer, Lee	https://en.wikipedia.org/wiki/32nd_Scripps_National_Spelling_Bee	Lee Kramer
0	7	Kurtág, Gyorgy	https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Kurt%C3%A1g	Gyorgy Kurtág
0	2	La Regle du Jeu (Rules of the Game)	https://en.wikipedia.org/wiki/Sight_%26_Sound	La Regle du Jeu (Rules of the Game)
0	7	Lejárraga, Maria de la O	https://en.wikipedia.org/wiki/Mar%C3%ADa_Lej%C3%A1rraga	Maria de la O Lejárraga
0	2	Lindsay Circle	https://en.wikipedia.org/wiki/Circle_in_the_Round	Lindsay Circle
0	2	Lindsay Family	https://en.wikipedia.org/wiki/Alexander_Lindsay_of_Evelick_(bishop)	Lindsay Family
0	3	Little Magazines	https://en.wikipedia.org/wiki/Literary_magazine	Little Magazines
0	7	Lukacs, Gyorgy	https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Luk%C3%A1cs	Gyorgy Lukacs
0	1	Make it New	https://en.wikipedia.org/wiki/Let%27s_Make_a_New_Dope_Deal	Make it New
0	7	Mallarme, Stephane	https://en.wikipedia.org/wiki/St%C3%A9phane_Mallarm%C3%A9	Stephane Mallarme
